,name,cnt,grp,grp_cnt
0,Sense Death(MC),0.02872340425531915,13,180
1,Electronic interaction(MC),0.052127659574468084,13,180
2,Radar Sense(MC),0.04893617021276596,13,180
3,Danger Sense(MC),0.06170212765957447,13,180
4,Dummy13(MC),0.0,13,0
5,Penance Stare(MC),0.00425531914893617,14,192
6,Hellfire Control(MC),0.015957446808510637,14,192
7,Soul Absorption(MC),0.022340425531914895,14,192
8,Darkness Manipulation(MC),0.026595744680851064,14,192
9,Death Touch(MC),0.036170212765957444,14,192
10,Necromancy(MC),0.04680851063829787,14,192
11,Possession(MC),0.052127659574468084,14,192
12,Dummy14(MC),0.0,14,0
13,Blood Control(MC),0.009574468085106383,11,265
14,Controlled Bone Growth(MC),0.013829787234042552,11,265
15,Pheromone Control(MC),0.015957446808510637,11,265
16,Enhance Mutation(MC),0.03829787234042553,11,265
17,Genetic Manipulation(MC),0.059574468085106386,11,265
18,Shape Shifter(MC),0.14468085106382977,11,265
19,Dummy11(MC),0.0,11,0
20,Inertia Absorption(MC),0.01276595744680851,8,272
21,Magnetism(MC),0.03297872340425532,8,272
22,Gravity control(MC),0.03723404255319149,8,272
23,Vibration Wave(MC),0.03297872340425532,8,272
24,Density Control(MC),0.03723404255319149,8,272
25,Force Field(MC),0.13617021276595745,8,272
26,Dummy8(MC),0.0,8,0
27,Sand manipulation(MC),0.0031914893617021275,7,356
28,Plant Control(MC),0.02021276595744681,7,356
29,Ice Breath(MC),0.009574468085106383,7,356
30,Flame Breath(MC),0.023404255319148935,7,356
31,Water Control(MC),0.02872340425531915,7,356
32,Ice Control(MC),0.027659574468085105,7,356
33,Earth Manipulation(MC),0.04680851063829787,7,356
34,Weather Control(MC),0.04042553191489362,7,356
35,Wind Bursts(MC),0.035106382978723406,7,356
36,Animal Control(MC),0.059574468085106386,7,356
37,Fire Control(MC),0.08404255319148936,7,356
38,Dummy7(MC),0.0,7,0
39,Probability Manipulation(MC),0.023404255319148935,10,345
40,Time Travel(MC),0.05106382978723404,10,345
41,Time Manipulation(MC),0.06382978723404255,10,345
42,Reality Manpulation(MC),0.059574468085106386,10,345
43,Dimensional Manipulation(MC),0.08297872340425531,10,345
44,Illusion Casting(MC),0.08617021276595745,10,345
45,Dummy10(MC),0.0,10,0
46,Vampirism(MC),0.01702127659574468,12,473
47,Poisonous(MC),0.019148936170212766,12,473
48,Immortal(MC),0.14042553191489363,12,473
49,Invulnerability(MC),0.32659574468085106,12,473
50,Dummy12(MC),0.0,12,0
51,Animation(MC),0.039361702127659576,6,486
52,Siphon Abilities(MC),0.045744680851063826,6,486
53,Siphon Lifeforce(MC),0.0574468085106383,6,486
54,Power Mimicry(MC),0.047872340425531915,6,486
55,Cosmic Awareness(MC),0.07234042553191489,6,486
56,Astral Projection(MC),0.07872340425531915,6,486
57,Divine Powers(MC),0.07872340425531915,6,486
58,Magic(MC),0.09680851063829787,6,486
59,Dummy6(MC),0.0,6,0
60,Psychometry(MC),0.018085106382978722,9,803
61,Postcognition(MC),0.019148936170212766,9,803
62,Voice-induced Manipulation(MC),0.027659574468085105,9,803
63,Emotion Control(MC),0.036170212765957444,9,803
64,Mesmerize(MC),0.05,9,803
65,Precognition(MC),0.05,9,803
66,Empathy(MC),0.059574468085106386,9,803
67,Willpower-Based Constructs(MC),0.03829787234042553,9,803
68,Hypnosis(MC),0.06702127659574468,9,803
69,Psychic(MC),0.08829787234042553,9,803
70,Telekinesis(MC),0.1,9,803
71,Psionic(MC),0.14680851063829786,9,803
72,Telepathy(MC),0.15319148936170213,9,803
73,Dummy9(MC),0.0,9,0
74,Implants(MC),0.1,2,951
75,Power Suit(MC),0.11914893617021277,2,951
76,Insanely Rich(MC),0.12659574468085105,2,951
77,Power Item(MC),0.11170212765957446,2,951
78,Gadgets(MC),0.24893617021276596,2,951
79,Weapon Master(MC),0.30531914893617024,2,951
80,Dummy2(MC),0.0,2,0
81,Darkforce Manipulation(MC),0.031914893617021274,5,1259
82,Technopathy(MC),0.04148936170212766,5,1259
83,Electronic Disruption(MC),0.05106382978723404,5,1259
84,Radiation(MC),0.036170212765957444,5,1259
85,Holographic Projection(MC),0.03297872340425532,5,1259
86,Electricity Control(MC),0.07234042553191489,5,1259
87,Heat Generation(MC),0.09148936170212765,5,1259
88,Energy Based Constructs(MC),0.0574468085106383,5,1259
89,Light Projection(MC),0.07872340425531915,5,1259
90,Energy Shield(MC),0.10425531914893617,5,1259
91,Energy-Enhanced Strike(MC),0.12127659574468085,5,1259
92,Energy Absorption(MC),0.13617021276595745,5,1259
93,Energy Manipulation(MC),0.15106382978723404,5,1259
94,Blast Power(MC),0.33297872340425533,5,1259
95,Dummy5(MC),0.0,5,0
96,Prehensile Hair(MC),0.002127659574468085,3,1455
97,Shadowmeld(MC),0.010638297872340425,3,1455
98,Chemical Absorbtion(MC),0.014893617021276596,3,1455
99,Sonic Scream(MC),0.009574468085106383,3,1455
100,Webslinger(MC),0.027659574468085105,3,1455
101,Chemical Secretion(MC),0.04042553191489362,3,1455
102,Wall Clinger(MC),0.052127659574468084,3,1455
103,Duplication(MC),0.031914893617021274,3,1455
104,Matter Absorption(MC),0.047872340425531915,3,1455
105,Elasticity(MC),0.04148936170212766,3,1455
106,Heat Vision(MC),0.031914893617021274,3,1455
107,Sub-Mariner(MC),0.04148936170212766,3,1455
108,Chameleon(MC),0.05531914893617021,3,1455
109,Invisibility(MC),0.06063829787234042,3,1455
110,Phasing / Ghost(MC),0.05851063829787234,3,1455
111,Size Manipulation(MC),0.09680851063829787,3,1455
112,Levitation(MC),0.10319148936170212,3,1455
113,Feral(MC),0.11595744680851064,3,1455
114,Claws(MC),0.12872340425531914,3,1455
115,Adaptive(MC),0.12446808510638298,3,1455
116,Teleport(MC),0.14680851063829786,3,1455
117,Flight(MC),0.30531914893617024,3,1455
118,Dummy3(MC),0.0,3,0
119,Synaesthesia(MC),0.005319148936170213,4,2285
120,Omni-lingual(MC),0.047872340425531915,4,2285
121,Swordsmanship(MC),0.1276595744680851,4,2285
122,Escape Artist(MC),0.12234042553191489,4,2285
123,Tracking(MC),0.16914893617021276,4,2285
124,Stealth(MC),0.1829787234042553,4,2285
125,Marksmanship(MC),0.23085106382978723,4,2285
126,Leadership(MC),0.30851063829787234,4,2285
127,Intellect(MC),0.5361702127659574,4,2285
128,Unarmed Combat(MC),0.7,4,2285
129,Dummy4(MC),0.0,4,0
130,Super Eating(MC),0.014893617021276596,1,2690
131,Super Smell(MC),0.08936170212765958,1,2690
132,Super Hearing(MC),0.13297872340425532,1,2690
133,Berserker Strength(MC),0.14574468085106382,1,2690
134,Super Sight(MC),0.16595744680851063,1,2690
135,Longevity(MC),0.2276595744680851,1,2690
136,Super Speed(MC),0.2957446808510638,1,2690
137,Healing(MC),0.3,1,2690
138,Super Strength(MC),0.48936170212765956,1,2690
139,Agility(MC),0.4978723404255319,1,2690
140,Stamina(MC),0.502127659574468,1,2690
141,Dummy1(MC),0.0,1,0
142,Stamina(DC),0.4838337182448037,1,2056
143,Agility(DC),0.4387990762124711,1,2056
144,Super Strength(DC),0.371824480369515,1,2056
145,Healing(DC),0.22748267898383373,1,2056
146,Super Speed(DC),0.22863741339491916,1,2056
147,Longevity(DC),0.18475750577367206,1,2056
148,Super Sight(DC),0.12817551963048499,1,2056
149,Berserker Strength(DC),0.10392609699769054,1,2056
150,Super Hearing(DC),0.10969976905311778,1,2056
151,Super Smell(DC),0.07852193995381063,1,2056
152,Super Eating(DC),0.018475750577367205,1,2056
153,Dummy1(DC),0.0,1,0
154,Unarmed Combat(DC),0.5739030023094688,4,2259
155,Intellect(DC),0.5796766743648961,4,2259
156,Leadership(DC),0.34988452655889146,4,2259
157,Marksmanship(DC),0.26674364896073904,4,2259
158,Stealth(DC),0.29330254041570436,4,2259
159,Tracking(DC),0.2390300230946882,4,2259
160,Escape Artist(DC),0.1258660508083141,4,2259
161,Swordsmanship(DC),0.10969976905311778,4,2259
162,Omni-lingual(DC),0.06812933025404157,4,2259
163,Synaesthesia(DC),0.0023094688221709007,4,2259
164,Dummy4(DC),0.0,4,0
165,Flight(DC),0.3695150115473441,3,1177
166,Teleport(DC),0.11431870669745958,3,1177
167,Adaptive(DC),0.09122401847575058,3,1177
168,Claws(DC),0.08198614318706697,3,1177
169,Feral(DC),0.07390300230946882,3,1177
170,Levitation(DC),0.07852193995381063,3,1177
171,Size Manipulation(DC),0.07852193995381063,3,1177
172,Phasing / Ghost(DC),0.11200923787528869,3,1177
173,Invisibility(DC),0.07159353348729793,3,1177
174,Chameleon(DC),0.03810623556581986,3,1177
175,Sub-Mariner(DC),0.04157043879907621,3,1177
176,Heat Vision(DC),0.04849884526558892,3,1177
177,Elasticity(DC),0.03233256351039261,3,1177
178,Matter Absorption(DC),0.023094688221709007,3,1177
179,Duplication(DC),0.03464203233256351,3,1177
180,Wall Clinger(DC),0.011547344110854504,3,1177
181,Chemical Secretion(DC),0.015011547344110854,3,1177
182,Webslinger(DC),0.0011547344110854503,3,1177
183,Sonic Scream(DC),0.020785219399538105,3,1177
184,Chemical Absorbtion(DC),0.010392609699769052,3,1177
185,Shadowmeld(DC),0.008083140877598153,3,1177
186,Prehensile Hair(DC),0.0023094688221709007,3,1177
187,Dummy3(DC),0.0,3,0
188,Blast Power(DC),0.26558891454965355,5,989
189,Energy Manipulation(DC),0.13279445727482678,5,989
190,Energy Absorption(DC),0.10161662817551963,5,989
191,Energy-Enhanced Strike(DC),0.09699769053117784,5,989
192,Energy Shield(DC),0.08660508083140878,5,989
193,Light Projection(DC),0.08198614318706697,5,989
194,Energy Based Constructs(DC),0.09930715935334873,5,989
195,Heat Generation(DC),0.05658198614318707,5,989
196,Electricity Control(DC),0.06351039260969978,5,989
197,Holographic Projection(DC),0.04849884526558892,5,989
198,Radiation(DC),0.03579676674364896,5,989
199,Electronic Disruption(DC),0.018475750577367205,5,989
200,Technopathy(DC),0.028868360277136258,5,989
201,Darkforce Manipulation(DC),0.025404157043879907,5,989
202,Dummy5(DC),0.0,5,0
203,Weapon Master(DC),0.30138568129330257,2,874
204,Gadgets(DC),0.2759815242494226,2,874
205,Power Item(DC),0.1836027713625866,2,874
206,Insanely Rich(DC),0.11778290993071594,2,874
207,Power Suit(DC),0.08314087759815242,2,874
208,Implants(DC),0.04734411085450346,2,874
209,Dummy2(DC),0.0,2,0
210,Telepathy(DC),0.12124711316397228,9,560
211,Psionic(DC),0.07159353348729793,9,560
212,Telekinesis(DC),0.09468822170900693,9,560
213,Psychic(DC),0.05658198614318707,9,560
214,Hypnosis(DC),0.061200923787528866,9,560
215,Willpower-Based Constructs(DC),0.08775981524249422,9,560
216,Empathy(DC),0.028868360277136258,9,560
217,Precognition(DC),0.03464203233256351,9,560
218,Mesmerize(DC),0.019630484988452657,9,560
219,Emotion Control(DC),0.026558891454965358,9,560
220,Voice-induced Manipulation(DC),0.019630484988452657,9,560
221,Postcognition(DC),0.012702078521939953,9,560
222,Psychometry(DC),0.011547344110854504,9,560
223,Dummy9(DC),0.0,9,0
224,Magic(DC),0.10969976905311778,6,361
225,Divine Powers(DC),0.09468822170900693,6,361
226,Astral Projection(DC),0.06466512702078522,6,361
227,Cosmic Awareness(DC),0.05658198614318707,6,361
228,Power Mimicry(DC),0.026558891454965358,6,361
229,Siphon Lifeforce(DC),0.013856812933025405,6,361
230,Siphon Abilities(DC),0.025404157043879907,6,361
231,Animation(DC),0.025404157043879907,6,361
232,Dummy6(DC),0.0,6,0
233,Invulnerability(DC),0.24249422632794457,12,364
234,Immortal(DC),0.1535796766743649,12,364
235,Poisonous(DC),0.013856812933025405,12,364
236,Vampirism(DC),0.010392609699769052,12,364
237,Dummy12(DC),0.0,12,0
238,Illusion Casting(DC),0.08314087759815242,10,320
239,Dimensional Manipulation(DC),0.061200923787528866,10,320
240,Reality Manpulation(DC),0.07736720554272518,10,320
